City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,92,PF,2018-10-11,100,-23.12,-134.97,70.14,10.76
Taltal,0,CL,2018-10-11,74,-25.41,-70.49,65.19,3.71
Qaanaaq,56,GL,2018-10-11,100,77.48,-69.36,19.65,9.08
Bud,0,NO,2018-10-11,71,62.91,6.91,62.6,8.05
Yenagoa,88,NG,2018-10-11,90,4.92,6.26,75.72,7.63
Avarua,75,CK,2018-10-11,83,-21.21,-159.78,73.4,6.93
Albany,90,US,2018-10-11,90,42.65,-73.75,71.96,5.82
Atuona,92,PF,2018-10-11,100,-9.8,-139.03,79.41,17.47
Balikpapan,92,ID,2018-10-11,100,-1.24,116.86,76.98,4.5
East London,0,ZA,2018-10-11,72,-33.02,27.91,66.2,17.22
New Norfolk,75,AU,2018-10-11,87,-42.78,147.06,48.2,5.82
Hobart,75,AU,2018-10-11,87,-42.88,147.33,48.2,5.82
Chumikan,0,RU,2018-10-11,95,54.72,135.31,34.86,5.73
Ponta do Sol,64,BR,2018-10-11,53,-20.63,-46.0,85.44,4.61
Coquimbo,75,CL,2018-10-11,62,-29.95,-71.34,59.0,8.05
Mataura,64,NZ,2018-10-11,90,-46.19,168.86,38.28,12.77
Hithadhoo,48,MV,2018-10-11,100,-0.6,73.08,83.82,6.51
Guerrero Negro,92,MX,2018-10-11,82,27.97,-114.04,68.7,4.72
Benguela,8,AO,2018-10-11,100,-12.58,13.4,73.02,7.63
Pasaje,0,MX,2018-10-11,27,24.93,-103.81,81.3,3.71
Palma,0,BR,2018-10-11,28,-5.02,-39.1,95.79,11.1
Namatanai,0,PG,2018-10-11,99,-3.66,152.44,83.19,8.52
Bethel,20,US,2018-10-11,100,60.79,-161.76,41.0,13.87
Yellowknife,75,CA,2018-10-11,80,62.45,-114.38,33.8,2.24
Huarmey,8,PE,2018-10-11,54,-10.07,-78.15,73.29,4.05
Mildura,48,AU,2018-10-11,68,-34.18,142.16,57.18,10.76
Tasiilaq,68,GL,2018-10-11,100,65.61,-37.64,31.44,15.79
Goderich,8,CA,2018-10-11,85,43.74,-81.71,55.56,23.51
Eureka,1,US,2018-10-11,67,40.8,-124.16,60.8,3.36
Ushuaia,75,AR,2018-10-11,45,-54.81,-68.31,48.2,9.17
Novikovo,0,UA,2018-10-11,99,45.05,34.56,55.56,7.96
Upernavik,80,GL,2018-10-11,100,72.79,-56.15,27.48,13.0
Maues,56,BR,2018-10-11,53,-3.38,-57.72,93.09,8.75
Isangel,32,VU,2018-10-11,100,-19.55,169.27,74.64,9.08
Jamestown,0,AU,2018-10-11,92,-33.21,138.6,48.18,7.52
Baykit,36,RU,2018-10-11,85,61.68,96.39,21.81,3.49
Punta Arenas,75,CL,2018-10-11,90,-53.16,-70.91,51.8,24.16
Antofagasta,90,CL,2018-10-11,82,-23.65,-70.4,60.8,17.22
Lompoc,75,US,2018-10-11,59,34.64,-120.46,68.0,6.93
Touros,0,BR,2018-10-11,57,-5.2,-35.46,85.71,16.24
Ilulissat,20,GL,2018-10-11,35,69.22,-51.1,24.8,2.24
Kavieng,8,PG,2018-10-11,100,-2.57,150.8,85.08,9.64
Puerto Ayora,40,EC,2018-10-11,54,-0.74,-90.35,80.6,13.87
Sayat,0,TM,2018-10-11,43,38.78,63.88,55.4,2.24
Lorengau,36,PG,2018-10-11,100,-2.02,147.27,82.65,10.65
Bisignano,90,IT,2018-10-11,93,39.5,16.27,69.8,2.24
Namibe,12,AO,2018-10-11,100,-15.19,12.15,68.79,7.96
Honiara,20,SB,2018-10-11,94,-9.43,159.96,73.4,3.04
Busselton,8,AU,2018-10-11,100,-33.64,115.35,61.32,11.1
Manyana,0,AU,2018-10-11,76,-35.26,150.51,53.6,8.05
Karratha,0,AU,2018-10-11,58,-20.74,116.85,67.44,8.41
Butaritari,88,KI,2018-10-11,100,3.07,172.79,84.81,6.73
Port Hedland,0,AU,2018-10-11,94,-20.31,118.58,69.8,8.05
Vaini,0,IN,2018-10-11,78,15.34,74.49,73.02,4.5
Bahir Dar,8,ET,2018-10-11,88,11.59,37.39,56.28,3.15
Provideniya,80,RU,2018-10-11,100,64.42,-173.23,40.62,21.5
Narsaq,20,GL,2018-10-11,44,60.91,-46.05,37.4,4.7
Arraial do Cabo,75,BR,2018-10-11,88,-22.97,-42.02,77.0,6.93
Yerbogachen,80,RU,2018-10-11,72,61.28,108.01,38.91,7.52
Roald,0,NO,2018-10-11,42,62.58,6.12,62.6,11.41
Pakxan,32,LA,2018-10-11,80,18.39,103.66,67.44,2.15
Leningradskiy,92,RU,2018-10-11,95,69.38,178.42,36.12,12.77
Tual,68,ID,2018-10-11,100,-5.67,132.75,79.86,10.2
Kununurra,0,AU,2018-10-11,78,-15.77,128.74,71.6,2.71
Olinda,75,EC,2018-10-11,65,-2.03,-79.75,78.8,10.29
Vyartsilya,80,RU,2018-10-11,81,62.18,30.69,47.28,8.97
Douentza,20,ML,2018-10-11,39,15.01,-2.95,89.49,4.05
Arkhangelsk,40,RU,2018-10-11,80,64.54,40.54,39.2,6.71
Nelson Bay,90,AU,2018-10-11,93,-32.72,152.14,55.4,1.12
Kapaa,40,US,2018-10-11,71,22.08,-159.32,78.98,6.93
Am Timan,8,TD,2018-10-11,49,11.04,20.28,82.56,4.61
Tagusao,12,PH,2018-10-11,94,9.19,117.81,80.04,3.38
Ust-Nera,56,RU,2018-10-11,99,64.57,143.24,7.86,2.15
Khatanga,0,RU,2018-10-11,85,71.98,102.47,20.82,10.98
Esperance,40,TT,2018-10-11,94,10.24,-61.45,75.2,6.93
Chuy,92,UY,2018-10-11,79,-33.69,-53.46,57.27,14.79
Evensk,80,RU,2018-10-11,100,61.92,159.24,38.28,0.92
Puerto Escondido,75,MX,2018-10-11,74,15.86,-97.07,80.6,13.87
Baruun-Urt,0,MN,2018-10-11,64,46.68,113.28,29.46,9.75
Pevek,0,RU,2018-10-11,100,69.7,170.27,28.29,6.06
Chara,20,GR,2018-10-11,71,39.42,22.43,57.2,5.82
Terre Haute,40,US,2018-10-11,53,39.47,-87.41,55.76,10.29
Shimoda,80,JP,2018-10-11,100,34.7,138.93,72.48,17.25
Castro,0,CL,2018-10-11,66,-42.48,-73.76,54.75,5.61
Nshamba,40,TZ,2018-10-11,88,-1.8,31.55,68.0,4.5
Souillac,0,FR,2018-10-11,88,45.6,-0.6,64.4,4.7
Aklavik,90,CA,2018-10-11,92,68.22,-135.01,21.2,3.36
Luanda,40,AO,2018-10-11,83,-8.83,13.24,75.2,5.82
Vila Franca do Campo,75,PT,2018-10-11,78,37.72,-25.43,71.6,27.51
Basco,75,US,2018-10-11,61,40.33,-91.2,48.92,16.11
Lata,0,IN,2018-10-11,95,30.78,78.62,41.07,2.04
Carnarvon,48,ZA,2018-10-11,16,-30.97,22.13,70.86,10.09
Longyearbyen,75,NO,2018-10-11,74,78.22,15.63,30.2,13.87
Muros,20,ES,2018-10-11,77,42.77,-9.06,59.0,13.87
Mega,0,ET,2018-10-11,83,4.06,38.32,63.66,6.4
Port-Cartier,90,CA,2018-10-11,55,50.03,-66.88,35.6,9.17
Cidreira,48,BR,2018-10-11,72,-30.17,-50.22,67.89,16.8
Bredasdorp,80,ZA,2018-10-11,67,-34.53,20.04,59.0,4.7
Victoria,75,BN,2018-10-11,88,5.28,115.24,80.6,6.96
Jiayuguan,0,CN,2018-10-11,51,39.77,98.29,27.93,2.93
Svetlogorsk,20,RU,2018-10-11,74,53.14,59.15,37.4,13.42
Coihaique,0,CL,2018-10-11,40,-45.58,-72.07,55.4,10.29
Coracora,8,PE,2018-10-11,24,-15.02,-73.78,63.21,4.38
Sovetskiy,68,RU,2018-10-11,67,56.76,48.47,39.36,14.45
Makakilo City,75,US,2018-10-11,69,21.35,-158.09,78.98,4.7
Tromso,75,NO,2018-10-11,81,69.65,18.96,44.6,12.75
Bluff,76,AU,2018-10-11,89,-23.58,149.07,66.72,9.08
Lakefield,1,CA,2018-10-11,72,44.42,-78.27,73.4,16.11
Kahului,40,US,2018-10-11,74,20.89,-156.47,78.98,5.61
College,90,US,2018-10-11,98,64.86,-147.8,36.86,2.24
Manta,8,RO,2018-10-11,79,45.1,24.1,51.24,2.04
Quime,92,BO,2018-10-11,88,-16.98,-67.22,53.85,1.92
Lovrin,48,RO,2018-10-11,67,45.97,20.77,60.8,3.36
Linxia,24,CN,2018-10-11,72,35.6,103.21,23.79,2.37
Luwuk,56,ID,2018-10-11,100,-0.95,122.79,76.08,3.49
Constitucion,75,MX,2018-10-11,24,23.99,-104.67,71.6,4.7
Sao Filipe,20,CV,2018-10-11,91,14.9,-24.5,81.48,13.56
Biltine,0,TD,2018-10-11,18,14.53,20.93,83.82,10.54
Dikson,36,RU,2018-10-11,100,73.51,80.55,32.16,17.25
Yibin,92,CN,2018-10-11,96,28.77,104.64,58.89,3.71
Cherskiy,76,RU,2018-10-11,100,68.75,161.3,24.51,2.59
Salekhard,80,RU,2018-10-11,85,66.54,66.62,31.71,15.46
Hilo,90,US,2018-10-11,87,19.71,-155.08,73.04,9.42
Sembakung,32,ID,2018-10-11,100,3.82,117.25,75.0,3.15
Berdigestyakh,92,RU,2018-10-11,89,62.1,126.7,30.18,5.5
Nikolskoye,90,RU,2018-10-11,100,59.7,30.79,42.8,3.94
Luena,0,AO,2018-10-11,42,-11.78,19.91,69.33,4.05
Geraldton,90,CA,2018-10-11,87,49.72,-86.95,32.0,9.17
Taguatinga,75,BR,2018-10-11,33,-15.83,-48.06,87.8,5.82
Plettenberg Bay,80,ZA,2018-10-11,100,-34.05,23.37,62.04,16.02
Lipin Bor,0,RU,2018-10-11,99,60.26,37.97,40.08,10.42
Severo-Kurilsk,80,RU,2018-10-11,100,50.68,156.12,44.4,10.54
Kaitangata,92,NZ,2018-10-11,91,-46.28,169.85,40.71,16.24
Talnakh,68,RU,2018-10-11,95,69.49,88.39,26.58,11.77
Luderitz,0,NA,2018-10-11,78,-26.65,15.16,60.78,24.63
Hermanus,80,ZA,2018-10-11,79,-34.42,19.24,56.64,3.71
Homer,40,US,2018-10-11,88,59.64,-151.54,46.94,4.7
Mahebourg,40,MU,2018-10-11,60,-20.41,57.7,73.4,18.34
Pathalgaon,100,IN,2018-10-11,97,22.56,83.46,69.51,3.15
Yar-Sale,92,RU,2018-10-11,100,66.83,70.83,32.79,10.09
Ordu,80,TR,2018-10-11,99,40.98,37.88,56.73,2.04
Cairns,75,AU,2018-10-11,88,-16.92,145.77,69.8,5.82
Harnosand,0,SE,2018-10-11,100,62.63,17.94,44.6,15.57
Maragogi,12,BR,2018-10-11,73,-9.01,-35.22,80.94,12.44
Marawi,24,PH,2018-10-11,96,8.0,124.29,66.27,1.92
Fergus Falls,90,US,2018-10-11,80,46.28,-96.08,33.98,16.11
Port Blair,88,IN,2018-10-11,100,11.67,92.75,83.19,13.44
Sao Felix do Xingu,64,BR,2018-10-11,70,-6.64,-51.99,85.98,2.59
Codrington,92,AU,2018-10-11,100,-28.95,153.24,57.63,4.16
Daund,8,IN,2018-10-11,46,18.46,74.58,76.89,8.41
Inirida,64,CO,2018-10-11,84,3.87,-67.92,82.56,2.59
Bonavista,64,CA,2018-10-11,100,48.65,-53.11,40.8,25.3
Port Alfred,68,ZA,2018-10-11,91,-33.59,26.89,66.72,20.27
Vardo,90,US,2018-10-11,78,39.62,-77.74,80.6,3.36
Evinayong,64,GQ,2018-10-11,86,1.44,10.55,74.1,3.94
Airai,0,TL,2018-10-11,78,-8.93,125.41,55.83,1.48
Loyga,0,RU,2018-10-11,84,61.08,44.61,32.34,10.2
Chokurdakh,64,RU,2018-10-11,87,70.62,147.9,21.54,2.59
Barrow,12,AR,2018-10-11,51,-38.31,-60.23,60.69,5.17
Hamilton,75,CA,2018-10-11,67,43.26,-79.87,66.2,12.75
Cape Town,20,ZA,2018-10-11,77,-33.93,18.42,59.0,13.87
Saint George,20,GR,2018-10-11,71,39.45,22.34,57.2,5.82
Ribeira Grande,75,PT,2018-10-11,88,38.52,-28.7,71.6,34.45
Merauke,48,ID,2018-10-11,94,-8.49,140.4,77.79,13.44
Tucuman,8,PE,2018-10-11,44,-17.17,-70.89,70.86,3.94
Mar del Plata,0,AR,2018-10-11,36,-46.43,-67.52,63.48,12.21
Nouadhibou,56,MR,2018-10-11,61,20.93,-17.03,78.8,14.99
Lebu,40,ET,2018-10-11,38,8.96,38.73,60.8,9.17
Hasaki,75,JP,2018-10-11,100,35.73,140.83,69.8,2.24
Mezen,80,RU,2018-10-11,77,65.85,44.24,38.28,11.99
Batticaloa,56,LK,2018-10-11,100,7.71,81.69,75.09,4.38
Torbay,75,CA,2018-10-11,51,47.66,-52.73,39.2,20.8
Elat,80,CM,2018-10-11,89,2.91,11.16,72.3,2.71
Reconquista,56,AR,2018-10-11,57,-29.14,-59.64,70.68,17.13
Mahibadhoo,92,MV,2018-10-11,99,3.78,72.97,83.37,8.41
Pitimbu,40,BR,2018-10-11,58,-7.47,-34.81,84.2,14.99
Hambantota,76,LK,2018-10-11,100,6.12,81.12,79.5,12.55
Abaza,0,RU,2018-10-11,75,52.65,90.1,24.42,2.37
Aste,40,IT,2018-10-11,68,45.79,11.1,66.2,3.36
Henties Bay,8,NA,2018-10-11,95,-22.12,14.28,59.61,10.09
Tuktoyaktuk,90,CA,2018-10-11,92,69.44,-133.03,23.0,9.17
Barra do Garcas,0,BR,2018-10-11,60,-15.89,-52.26,91.11,3.6
Dwarka,0,IN,2018-10-11,64,28.58,77.04,71.6,5.82
Laguna,75,MX,2018-10-11,54,27.52,-110.01,82.4,6.93
Pangnirtung,20,CA,2018-10-11,62,66.15,-65.72,23.0,6.93
Ewa Beach,75,US,2018-10-11,69,21.32,-158.01,78.98,4.7
Hofn,92,IS,2018-10-11,94,64.25,-15.21,47.91,16.46
Kruisfontein,80,ZA,2018-10-11,88,-34.0,24.73,62.76,16.58
Sioux Lookout,90,CA,2018-10-11,89,50.1,-91.92,32.0,9.17
Clyde River,75,CA,2018-10-11,78,70.47,-68.59,17.6,5.82
Semey,0,KZ,2018-10-11,74,50.41,80.25,39.54,6.73
Cabo San Lucas,40,MX,2018-10-11,69,22.89,-109.91,82.4,3.36
Trzcianka,0,PL,2018-10-11,55,53.04,16.46,64.38,13.11
Ancud,0,CL,2018-10-11,61,-41.87,-73.83,56.64,4.72
Chesma,20,RU,2018-10-11,66,53.81,60.65,39.18,13.22
Meulaboh,76,ID,2018-10-11,100,4.14,96.13,75.72,4.94
Kalabo,0,ZM,2018-10-11,22,-15.0,22.67,73.56,6.73
Cardenas,75,MX,2018-10-11,54,27.62,-110.24,82.4,6.93
Belmonte,20,PT,2018-10-11,84,40.36,-7.35,59.97,5.61
Staryy Krym,0,UA,2018-10-11,91,45.03,35.1,61.86,14.45
Berlevag,20,NO,2018-10-11,74,70.86,29.09,39.2,16.11
Omboue,88,GA,2018-10-11,100,-1.57,9.26,78.78,9.42
Kodiak,40,US,2018-10-11,58,39.95,-94.76,48.92,12.75
San Francisco,75,US,2018-10-11,67,37.78,-122.42,65.66,1.7
Champerico,75,MX,2018-10-11,74,16.38,-93.6,78.8,3.36
Mysliborz,0,PL,2018-10-11,52,52.92,14.87,66.54,14.67
Gari,92,RU,2018-10-11,98,59.43,62.35,35.49,8.75
Norman Wells,75,CA,2018-10-11,92,65.28,-126.83,32.0,2.24
Vryburg,92,ZA,2018-10-11,22,-26.96,24.73,78.6,5.61
Bubaque,20,GW,2018-10-11,74,11.28,-15.83,87.8,3.36
Ambunti,36,PG,2018-10-11,100,-4.22,142.82,74.91,1.7
Port Elizabeth,75,US,2018-10-11,90,39.31,-74.98,83.48,5.82
Yulara,20,AU,2018-10-11,88,-25.24,130.99,62.6,9.17
Mananjary,48,MG,2018-10-11,64,-19.16,46.8,60.78,9.53
General Roca,75,AR,2018-10-11,47,-39.03,-67.58,60.8,8.05
Puerto Ayacucho,40,CO,2018-10-11,59,5.66,-67.63,91.4,5.73
Monticello,90,US,2018-10-11,15,45.31,-93.79,37.94,17.22
Boa Vista,75,BR,2018-10-11,34,2.82,-60.67,96.8,8.05
Port Lincoln,0,AU,2018-10-11,98,-34.72,135.86,56.55,11.54
Kaitong,0,CN,2018-10-11,80,44.81,123.15,33.51,3.94
Quelimane,75,MZ,2018-10-11,83,-17.88,36.89,78.8,10.29
Imeni Babushkina,76,RU,2018-10-11,84,59.76,43.13,39.18,9.53
Pouebo,24,NC,2018-10-11,98,-20.4,164.57,66.36,3.94
Georgetown,40,GY,2018-10-11,59,6.8,-58.16,91.4,11.41
Vagur,92,FO,2018-10-11,87,61.47,-6.81,52.14,24.63
Idlib,40,SY,2018-10-11,56,35.93,36.64,73.4,1.12
Ostrovnoy,56,RU,2018-10-11,92,68.05,39.51,34.14,17.69
Humboldt,0,CA,2018-10-11,92,52.21,-105.12,31.08,7.07
Pochutla,90,MX,2018-10-11,88,15.74,-96.47,80.6,11.41
Port Hardy,90,CA,2018-10-11,87,50.7,-127.42,48.2,4.7
Port Macquarie,90,AU,2018-10-11,82,-31.43,152.91,55.4,1.12
Gayeri,20,BF,2018-10-11,54,12.65,0.49,87.15,3.38
Barranca,20,PE,2018-10-11,100,-10.75,-77.76,62.94,6.62
Fresnillo,40,MX,2018-10-11,40,23.17,-102.87,73.4,11.41
Dingle,56,PH,2018-10-11,92,11.0,122.67,77.16,6.4
Asmar,0,AF,2018-10-11,85,35.03,71.36,42.33,2.15
Grand-Santi,0,GF,2018-10-11,36,4.27,-54.38,96.51,3.49
Comodoro Rivadavia,0,AR,2018-10-11,21,-45.87,-67.48,69.8,12.75
Senneterre,75,CA,2018-10-11,93,48.39,-77.24,57.2,4.7
Waingapu,24,ID,2018-10-11,94,-9.65,120.26,67.71,4.38
Arequipa,0,PE,2018-10-11,13,-16.4,-71.54,71.6,11.41
Pringsewu,8,ID,2018-10-11,81,-5.36,104.98,74.19,0.58
Olden,0,NO,2018-10-11,39,61.84,6.81,64.4,5.82
Ixtapa,40,MX,2018-10-11,66,20.71,-105.21,86.0,5.82
Amga,20,RU,2018-10-11,81,60.89,131.98,17.49,2.48
Sao Joao da Barra,75,BR,2018-10-11,74,-21.64,-41.05,78.8,11.41
Faanui,68,PF,2018-10-11,98,-16.48,-151.75,80.31,13.22
Shitkino,0,RU,2018-10-11,88,56.37,98.35,30.72,2.37
Tiksi,88,RU,2018-10-11,95,71.64,128.87,29.01,6.62
San Cristobal,75,EC,2018-10-11,42,-0.39,-78.55,68.0,3.36
Moose Factory,90,CA,2018-10-11,100,51.26,-80.61,39.2,11.41
Pacific Grove,75,US,2018-10-11,67,36.62,-121.92,66.02,3.49
Katsuura,75,JP,2018-10-11,67,33.93,134.5,60.8,23.04
Erzin,75,TR,2018-10-11,60,36.95,36.2,73.4,5.82
Kranuan,0,TH,2018-10-11,78,16.71,103.08,75.2,4.7
Gigmoto,0,PH,2018-10-11,100,13.78,124.39,77.61,5.73
Saskylakh,92,RU,2018-10-11,94,71.97,114.09,25.5,3.94
Nantucket,20,US,2018-10-11,88,41.28,-70.1,75.2,14.99
Preobrazheniye,20,RU,2018-10-11,92,42.9,133.91,37.56,4.16
Hokitika,92,NZ,2018-10-11,100,-42.72,170.96,50.88,8.75
Ahipara,92,NZ,2018-10-11,92,-35.17,173.16,56.46,24.74
Mount Gambier,0,AU,2018-10-11,85,-37.83,140.78,48.09,4.94
Zapresic,0,HR,2018-10-11,93,45.86,15.81,55.4,2.24
Samarai,80,PG,2018-10-11,100,-10.62,150.67,78.15,8.52
Thompson,20,CA,2018-10-11,43,55.74,-97.86,33.8,2.24
Nioro,0,GM,2018-10-11,74,13.79,-15.05,92.37,2.93
Buraydah,0,SA,2018-10-11,22,26.33,43.97,86.0,3.36
Zhicheng,0,CN,2018-10-11,81,35.04,112.59,44.4,2.04
Lunenburg,90,US,2018-10-11,100,42.59,-71.72,64.94,4.7
Port Arthur,1,US,2018-10-11,42,29.9,-93.93,80.96,14.99
Miri,92,NG,2018-10-11,36,10.31,9.75,86.61,5.95
Coxim,20,BR,2018-10-11,65,-18.5,-54.75,89.49,2.93
Dandong,0,CN,2018-10-11,88,40.12,124.37,30.81,2.48
Klaksvik,92,FO,2018-10-11,100,62.23,-6.59,51.8,12.75
Serpong,20,ID,2018-10-11,78,-6.32,106.66,80.6,2.24
